#### La verdura por su definición
   i0 | E: Hortaliza redonda y roja con la que se hace el gazpacho | C: Tomate | D: ['Pimiento', 'Cebolla']
   i0 | E: Flor roja con espinas, símbolo del amor | C: Rosa | D: ['Margarita', 'Clavel']
   i1 | E: Flor amarilla y grande que sigue al sol | C: Girasol | D: ['Margarita', 'Amapola']
   i2 | E: Flor blanca de campo con centro amarillo, se deshoja pétalo a pétalo | C: Margarita | D: ['Rosa', 'Tulipán']
   i3 | E: Flor roja y silvestre que crece entre el trigo | C: Amapola | D: ['Rosa', 'Clavel']
   i4 | E: Flor con forma de copa, típica de Holanda | C: Tulipán | D: ['Rosa', 'Girasol']
   i5 | E: Flor pequeña y morada, humilde y de olor suave | C: Violeta | D: ['Rosa', 'Girasol']
#### El pájaro por su definición
   i0 | E: Ave pequeña y parda muy común en las ciudades | C: Gorrión | D: ['Águila', 'Avestruz']
   i1 | E: Ave que anuncia la primavera y anida bajo los tejados | C: Golondrina | D: ['Búho', 'Gallina']
   i2 | E: Ave grande que caza de día, reina de las alturas | C: Águila | D: ['Gorrión', 'Canario']
   i3 | E: Ave nocturna de ojos grandes que hace 'uhú' | C: Búho | D: ['Paloma', 'Pato']
   i4 | E: Ave blanca y gris, símbolo de la paz | C: Paloma | D: ['Cuervo', 'Águila']
   i5 | E: Pájaro amarillo que se tiene en jaula y canta muy bien | C: Canario | D: ['Cuervo', 'Águila']
#### El verbo por su definición
   i0 | E: Llevarse comida a la boca y masticarla | C: Comer | D: ['Beber', 'Dormir']
   i1 | E: Cerrar los ojos y descansar por la noche | C: Dormir | D: ['Correr', 'Comer']
   i2 | E: Mover las piernas deprisa para ir muy rápido | C: Correr | D: ['Andar', 'Saltar']
   i3 | E: Juntar las manos y dar palmadas | C: Aplaudir | D: ['Saludar', 'Señalar']
   i4 | E: Echar agua a las plantas | C: Regar | D: ['Podar', 'Sembrar']
   i5 | E: Decir cosas a otra persona con palabras | C: Hablar | D: ['Escuchar', 'Callar']
#### El postre por su definición
   i0 | E: Postre frío y dulce que se come en verano, en cucurucho | C: Helado | D: ['Flan', 'Bizcocho']
   i1 | E: Postre amarillo y blando que tiembla, con caramelo por encima | C: Flan | D: ['Natillas', 'Helado']
   i2 | E: Postre cremoso que se toma con cuchara y una galleta encima | C: Natillas | D: ['Helado', 'Bizcocho']
   i3 | E: Dulce esponjoso que se hornea, típico para mojar en la leche | C: Bizcocho | D: ['Flan', 'Helado']
   i4 | E: Dulce de Navidad hecho de almendra | C: Turrón | D: ['Flan', 'Helado']
   i5 | E: Masa frita y azucarada que se moja en chocolate | C: Churros | D: ['Flan', 'Bizcocho']
#### La flor por su color y aroma
   i0 | E: Flor roja con espinas en el tallo, símbolo del amor. | C: La rosa | D: ['El girasol', 'La amapola']
   i1 | E: Flor grande y amarilla que gira mirando al sol. | C: El girasol | D: ['La rosa', 'El clavel']
   i2 | E: Flor roja del campo de trigo, de pétalos muy finos. | C: La amapola | D: ['El girasol', 'La margarita']
   i3 | E: Flor blanca de pétalos con el centro amarillo; se deshoja. | C: La margarita | D: ['La rosa', 'El girasol']
   i4 | E: Flor morada de olor fuerte que perfuma los armarios. | C: La lavanda | D: ['El girasol', 'La rosa']
   i5 | E: Flor de muchos pétalos y aroma intenso, típica de la feria. | C: El clavel | D: ['El girasol', 'La margarita']
#### El ave por su rasgo
   i0 | E: Abre una cola enorme en abanico llena de colores. | C: El pavo real | D: ['El gorrión', 'La gallina']
   i1 | E: Ave nocturna de ojos grandes y redondos que ulula de noche. | C: El búho | D: ['La paloma', 'El pato']
   i2 | E: Ave alta y blanca que hace el nido en lo alto de los tejados. | C: La cigüeña | D: ['El gorrión', 'El mirlo']
   i3 | E: Ave que no vuela, vive en el frío y camina muy tiesa. | C: El pingüino | D: ['El águila', 'La golondrina']
   i4 | E: Ave rosada de patas largas que se apoya en una sola pata. | C: El flamenco | D: ['La gallina', 'El búho']
   i5 | E: Ave grande y fuerte que vuela muy alto y caza con sus garras. | C: El águila | D: ['El gorrión', 'La paloma']
#### El plato por sus ingredientes
   i0 | E: Sopa fría de tomate, pepino y pan, típica de Andalucía. | C: Gazpacho | D: ['Paella', 'Cocido']
   i1 | E: Arroz amarillo con azafrán, pollo y marisco. | C: Paella | D: ['Fabada', 'Gazpacho']
   i2 | E: Se hace batiendo huevos con patata en la sartén. | C: Tortilla de patata | D: ['Gazpacho', 'Paella']
   i3 | E: Guiso de garbanzos con verduras y carne, servido en varios vuelcos. | C: Cocido | D: ['Gazpacho', 'Tortilla de patata']
   i4 | E: Guiso asturiano de alubias blancas con chorizo y morcilla. | C: Fabada | D: ['Paella', 'Gazpacho']
   i5 | E: Pan frito con ajo, típico de las tierras de secano. | C: Migas | D: ['Cocido', 'Paella']
#### El árbol por su fruto y su hoja
   i0 | E: Da manzanas | C: El manzano | D: ['El peral', 'El naranjo']
   i1 | E: Da naranjas | C: El naranjo | D: ['El limonero', 'El manzano']
   i2 | E: Da aceitunas y de él sale el aceite | C: El olivo | D: ['La higuera', 'El naranjo']
   i3 | E: Da uvas | C: La parra | D: ['La higuera', 'El manzano']
   i4 | E: Da higos | C: La higuera | D: ['El olivo', 'El peral']
   i5 | E: Da bellotas y bajo él comen los cerdos | C: La encina | D: ['El manzano', 'El naranjo']
#### El objeto por su empleo diario
   i0 | E: Para saber la hora | C: El reloj | D: ['El espejo', 'El peine']
   i1 | E: Para peinarse | C: El peine | D: ['La cuchara', 'La toalla']
   i2 | E: Para secarse después del baño | C: La toalla | D: ['La sábana', 'El mantel']
   i3 | E: Para barrer el suelo | C: La escoba | D: ['La plancha', 'El cepillo de dientes']
   i4 | E: Para abrir una puerta cerrada | C: La llave | D: ['Las tijeras', 'El martillo']
   i5 | E: Para ver de cerca las letras pequeñas | C: Las gafas | D: ['El reloj', 'El sombrero']
#### El animal por sus patas y pezuñas
   i0 | E: Tiene pezuñas, come hierba y da leche en la granja | C: La vaca | D: ['La gallina', 'El gato']
   i1 | E: Tiene los pies con garras y se sube a los árboles | C: El gato | D: ['La vaca', 'El caballo']
   i2 | E: Tiene cascos, galopa y se le herran los pies | C: El caballo | D: ['El cerdo', 'La oveja']
   i3 | E: Tiene patas con garras y plumas, y escarba el suelo | C: La gallina | D: ['La vaca', 'El cerdo']
   i4 | E: No tiene patas y se arrastra por el suelo | C: La serpiente | D: ['La rana', 'El lagarto']
   i5 | E: Tiene ocho patas y teje su tela | C: La araña | D: ['La hormiga', 'La mosca']
#### El insecto por sus alas
   i0 | E: Tiene alas grandes de colores y vuela entre las flores | C: La mariposa | D: ['La hormiga', 'La araña']
   i1 | E: Zumba, hace miel y puede picar | C: La abeja | D: ['La mariposa', 'La mosca']
   i2 | E: No tiene alas, es pequeña y va en fila | C: La hormiga | D: ['La abeja', 'La mosca']
   i3 | E: Vuela de noche hacia la luz | C: La polilla | D: ['La abeja', 'La hormiga']
   i4 | E: Es negra, molesta y se posa en la comida | C: La mosca | D: ['La mariposa', 'La abeja']
   i5 | E: Salta muy alto entre la hierba del campo | C: El saltamontes | D: ['La mosca', 'La abeja']
#### La herramienta por lo que hace
   i0 | E: Sirve para clavar clavos a golpes. | C: El martillo | D: ['La sierra', 'El destornillador']
   i1 | E: Corta la madera con sus dientes. | C: La sierra | D: ['El martillo', 'La llave inglesa']
   i2 | E: Aprieta y afloja los tornillos. | C: El destornillador | D: ['El martillo', 'La sierra']
   i3 | E: Hace agujeros en la pared. | C: El taladro | D: ['La sierra', 'El martillo']
   i4 | E: Aprieta y afloja las tuercas. | C: La llave inglesa | D: ['El destornillador', 'El martillo']
   i5 | E: Sirve para medir el largo de las cosas. | C: El metro | D: ['El martillo', 'La sierra']
#### El electrodoméstico por lo que hace
   i0 | E: Mantiene fríos los alimentos. | C: La nevera | D: ['La lavadora', 'El horno']
   i1 | E: Lava la ropa sucia dando vueltas. | C: La lavadora | D: ['La nevera', 'La tostadora']
   i2 | E: Cocina y dora los asados con su calor. | C: El horno | D: ['La nevera', 'La aspiradora']
   i3 | E: Alisa las arrugas de la ropa con su calor. | C: La plancha | D: ['La nevera', 'La lavadora']
   i4 | E: Aspira el polvo del suelo. | C: La aspiradora | D: ['El horno', 'La nevera']
   i5 | E: Tuesta las rebanadas de pan del desayuno. | C: La tostadora | D: ['La lavadora', 'La nevera']
#### El cubierto por su uso
   i0 | E: Sirve para tomar la sopa y los caldos. | C: La cuchara | D: ['El tenedor', 'El cuchillo']
   i1 | E: Sirve para pinchar la carne y la pasta. | C: El tenedor | D: ['La cuchara', 'El vaso']
   i2 | E: Sirve para cortar el filete. | C: El cuchillo | D: ['La cuchara', 'El plato']
   i3 | E: Pequeña, para remover el café o tomar el postre. | C: La cucharilla | D: ['El cuchillo', 'El tenedor']
   i4 | E: Recipiente donde se sirve la comida. | C: El plato | D: ['El tenedor', 'El cuchillo']
   i5 | E: En él se bebe el agua. | C: El vaso | D: ['La cuchara', 'El tenedor']
#### Animales de la selva por su rasgo
   i0 | E: Tiene una gran melena y es el rey de la selva. | C: El león | D: ['La cebra', 'El mono']
   i1 | E: Enorme, gris, con una larga trompa y grandes orejas. | C: El elefante | D: ['El león', 'La jirafa']
   i2 | E: Tiene el cuello larguísimo para comer de los árboles altos. | C: La jirafa | D: ['El mono', 'El tigre']
   i3 | E: Caballo con rayas blancas y negras. | C: La cebra | D: ['El león', 'El elefante']
   i4 | E: Gato grande y feroz con rayas anaranjadas y negras. | C: El tigre | D: ['La jirafa', 'La cebra']
   i5 | E: Trepa por los árboles, come plátanos y se cuelga de la cola. | C: El mono | D: ['El elefante', 'La cebra']
#### Di la palabra por su definición
   i0 | E: Aparato que sirve para saber la hora | C: El reloj | D: ['El espejo', 'La radio']
   i1 | E: Mueble donde se guarda la ropa | C: El armario | D: ['La mesa', 'La lámpara']
   i2 | E: Prenda que se pone en los pies antes del zapato | C: El calcetín | D: ['El guante', 'El sombrero']
   i3 | E: Utensilio con púas que sirve para peinarse | C: El peine | D: ['La cuchara', 'El pincel']
   i4 | E: Aparato que enfría y conserva los alimentos | C: La nevera | D: ['El horno', 'La plancha']
   i5 | E: Prenda que se abre para no mojarse con la lluvia | C: El paraguas | D: ['El abanico', 'El bastón']
#### La palabra que buscas por su definición
   i0 | E: Lo que nos ponemos en los ojos para ver mejor | C: Las gafas | D: ['Los pendientes', 'El pañuelo']
   i1 | E: Lo que usamos para barrer el suelo | C: La escoba | D: ['El rastrillo', 'El cepillo de dientes']
   i2 | E: Lo que ponemos en la cama para apoyar la cabeza | C: La almohada | D: ['La sábana', 'La manta']
   i3 | E: Lo que encendemos para alumbrar la habitación | C: La luz | D: ['La radio', 'El ventilador']
   i4 | E: Lo que usamos para lavarnos las manos | C: El jabón | D: ['La toalla', 'El peine']
   i5 | E: Lo que abrimos y cerramos para entrar en casa | C: La puerta | D: ['La ventana', 'El techo']
#### ¿Qué oficio es? Por su significado
   i0 | E: Persona que cura a los enfermos | C: El médico | D: ['El cartero', 'El pintor']
   i1 | E: Persona que reparte las cartas por las casas | C: El cartero | D: ['El bombero', 'El panadero']
   i2 | E: Persona que apaga los incendios | C: El bombero | D: ['El fontanero', 'El jardinero']
   i3 | E: Persona que hace y vende el pan | C: El panadero | D: ['El carpintero', 'El médico']
   i4 | E: Persona que corta y arregla el pelo | C: El peluquero | D: ['El zapatero', 'El cartero']
   i5 | E: Persona que cuida y cura a los animales | C: El veterinario | D: ['El pescador', 'El albañil']
#### Adivina la palabra: la cocina
   i0 | E: Recipiente hondo para hacer el caldo: | C: Olla | D: ['Plato', 'Vaso']
   i1 | E: Utensilio con agujeros para sacar la comida del caldo: | C: Espumadera | D: ['Cuchara', 'Cuchillo']
   i2 | E: Donde se guarda la comida para que no se estropee: | C: Nevera | D: ['Horno', 'Fregadero']
   i3 | E: Prenda que se pone para no mancharse al cocinar: | C: Delantal | D: ['Bufanda', 'Guante']
   i4 | E: Aparato que asa y calienta la comida: | C: Horno | D: ['Nevera', 'Grifo']
   i5 | E: Utensilio de mango largo para servir el guiso: | C: Cucharón | D: ['Tenedor', 'Cuchillo']
#### Adivina la palabra: el campo
   i0 | E: Herramienta para cavar la tierra: | C: Azada | D: ['Martillo', 'Sierra']
   i1 | E: Máquina que recoge el trigo: | C: Cosechadora | D: ['Lavadora', 'Grúa']
   i2 | E: Lugar donde se guarda el grano: | C: Granero | D: ['Garaje', 'Salón']
   i3 | E: Construcción donde duermen las gallinas: | C: Gallinero | D: ['Garaje', 'Buhardilla']
   i4 | E: Recipiente donde beben agua los animales: | C: Abrevadero | D: ['Florero', 'Cafetera']
   i5 | E: Persona que cuida las ovejas: | C: Pastor | D: ['Cartero', 'Marinero']
#### Adivina la palabra: el aseo
   i0 | E: Recipiente grande para bañarse: | C: Bañera | D: ['Fregadero', 'Maceta']
   i1 | E: Para secarse tras el baño: | C: Toalla | D: ['Mantel', 'Alfombra']
   i2 | E: Pasta para lavarse los dientes: | C: Dentífrico | D: ['Champú', 'Colonia']
   i3 | E: Para lavarse el pelo: | C: Champú | D: ['Colonia', 'Crema']
   i4 | E: Donde te miras la cara: | C: Espejo | D: ['Ventana', 'Cuadro']
   i5 | E: Objeto de púas para desenredar el pelo: | C: Peine | D: ['Tenedor', 'Rastrillo']
#### La herramienta según el material que trabaja
   i0 | E: Para clavar un clavo en la madera | C: El martillo | D: ['La sierra', 'La aguja']
   i1 | E: Para cortar una tabla de madera | C: La sierra | D: ['El martillo', 'El destornillador']
   i2 | E: Para apretar un tornillo | C: El destornillador | D: ['La sierra', 'El martillo']
   i3 | E: Para extender el cemento en la pared | C: La llana | D: ['El martillo', 'La sierra']
   i4 | E: Para coser dos telas | C: La aguja | D: ['El martillo', 'La sierra']
   i5 | E: Para cavar la tierra del huerto | C: La azada | D: ['El martillo', 'La aguja']
#### El oficio por el material que trabaja
   i0 | E: Trabaja la madera para hacer muebles y puertas. | C: El carpintero | D: ['El herrero', 'El sastre']
   i1 | E: Da forma al hierro al rojo golpeándolo en el yunque. | C: El herrero | D: ['El alfarero', 'El pintor']
   i2 | E: Moldea el barro para hacer cántaros y platos. | C: El alfarero | D: ['El carpintero', 'El cristalero']
   i3 | E: Corta y cose la tela para hacer trajes. | C: El sastre | D: ['El herrero', 'El albañil']
   i4 | E: Levanta paredes con ladrillos y cemento. | C: El albañil | D: ['El sastre', 'El alfarero']
   i5 | E: Trabaja el vidrio para hacer cristales y copas. | C: El cristalero | D: ['El carpintero', 'El herrero']
#### Animales por su cola
   i0 | E: Ave que abre su cola como un abanico lleno de colores | C: El pavo real | D: ['La gallina', 'El pato']
   i1 | E: Animal de cola larga y pelada que lo roe todo | C: El ratón | D: ['El conejo', 'El gato']
   i2 | E: Animal muy astuto de cola peluda y rojiza | C: El zorro | D: ['La oveja', 'La vaca']
   i3 | E: Animal que mueve la cola cuando está contento | C: El perro | D: ['El pez', 'La gallina']
   i4 | E: Animal de cola larga que salta de rama en rama | C: El mono | D: ['El elefante', 'La tortuga']
   i5 | E: Animalito que suelta la cola para escapar del peligro | C: La lagartija | D: ['El perro', 'El gato']
#### Plantas con pinchos
   i0 | E: Planta del desierto llena de pinchos que aguanta sin agua | C: El cactus | D: ['La lechuga', 'El trigo']
   i1 | E: Flor bonita y roja cuyo tallo está lleno de espinas | C: La rosa | D: ['La margarita', 'El girasol']
   i2 | E: Arbusto silvestre con espinas del que salen las moras | C: La zarza | D: ['El olivo', 'El manzano']
   i3 | E: Árbol siempre verde de hojas finas que pinchan y da piñas | C: El pino | D: ['El naranjo', 'La higuera']
   i4 | E: Planta del campo con pinchos que se clava en la ropa | C: El cardo | D: ['La lechuga', 'La amapola']
#### Reconoce la flor
   i0 | E: Flor muy alta y amarilla cuyas pipas se comen | C: El girasol | D: ['La rosa', 'El cactus']
   i1 | E: Flor de los enamorados, roja y con espinas | C: La rosa | D: ['El pino', 'El trigo']
   i2 | E: Flor blanca del campo con el centro amarillo | C: La margarita | D: ['El cactus', 'La palmera']
   i3 | E: Flor roja y frágil que crece entre el trigo | C: La amapola | D: ['La rosa', 'El girasol']
   i4 | E: Flor en forma de copa que viene de Holanda | C: El tulipán | D: ['La encina', 'El olivo']
   i5 | E: Flor pequeña y morada de olor dulce del campo | C: La violeta | D: ['El girasol', 'La rosa']
#### Árboles por su hoja
   i0 | E: Sus hojas son finas, de color verde grisáceo, y da aceitunas | C: El olivo | D: ['El manzano', 'El cerezo']
   i1 | E: Tiene hojas en forma de aguja y no las pierde en invierno | C: El pino | D: ['El naranjo', 'La higuera']
   i2 | E: Sus hojas anchas y lobuladas caen en otoño y da bellotas | C: El roble | D: ['El limonero', 'El almendro']
   i3 | E: Sus hojas tiemblan con el viento y crece junto a los ríos | C: El chopo | D: ['El olivo', 'El naranjo']
   i4 | E: Es alto y estrecho como una columna, típico de los cementerios | C: El ciprés | D: ['El manzano', 'El avellano']
   i5 | E: Sus hojas anchas dan mucha sombra en las plazas de los pueblos | C: El plátano de sombra | D: ['El pino', 'El abeto']
MISSING: Olores que traen recuerdos
MISSING: El olor
MISSING: Olores
#### La habitación por lo que hacemos allí
   i0 | E: Aquí guisamos y fregamos los platos. ¿Qué habitación es? | C: La cocina | D: ['El dormitorio', 'El baño']
   i1 | E: Aquí nos duchamos y nos lavamos los dientes. ¿Qué habitación es? | C: El cuarto de baño | D: ['La cocina', 'El salón']
   i2 | E: Aquí dormimos por la noche. ¿Qué habitación es? | C: El dormitorio | D: ['La cocina', 'El garaje']
   i3 | E: Aquí vemos la televisión sentados en el sofá. ¿Qué habitación es? | C: El salón | D: ['El baño', 'El dormitorio']
   i4 | E: Aquí guardamos el coche. ¿Qué lugar es? | C: El garaje | D: ['La cocina', 'El salón']
   i5 | E: Aquí comemos todos juntos alrededor de la mesa. ¿Qué habitación es? | C: El comedor | D: ['El baño', 'El garaje']
#### Sitios del pueblo por lo que pasa allí
   i0 | E: ¿En qué edificio se dan las misas y se casan los novios? | C: La iglesia | D: ['La panadería', 'El mercado']
   i1 | E: ¿A qué sitio se va a echar y recoger las cartas? | C: La oficina de correos | D: ['La carnicería', 'La farmacia']
   i2 | E: ¿Dónde está el alcalde y se hacen los papeles del pueblo? | C: El ayuntamiento | D: ['La peluquería', 'La pescadería']
   i3 | E: ¿Dónde se ponen los puestos de fruta, pescado y carne bajo techo? | C: El mercado | D: ['La escuela', 'La iglesia']
   i4 | E: ¿Adónde van los niños a aprender a leer y escribir? | C: La escuela | D: ['El banco', 'La ferretería']
   i5 | E: ¿Dónde se guarda el dinero y se cobran las pensiones? | C: El banco | D: ['La panadería', 'La floristería']
#### La tienda por lo que vende
   i0 | E: ¿En qué tienda venden el pan recién hecho? | C: La panadería | D: ['La ferretería', 'La joyería']
   i1 | E: ¿Dónde se compran las medicinas y las pastillas? | C: La farmacia | D: ['La pescadería', 'La zapatería']
   i2 | E: ¿Dónde se compra la carne fresca y los filetes? | C: La carnicería | D: ['La papelería', 'La floristería']
   i3 | E: ¿Dónde venden el pescado y el marisco? | C: La pescadería | D: ['La panadería', 'La relojería']
   i4 | E: ¿Dónde se compran los zapatos y las botas? | C: La zapatería | D: ['La frutería', 'La droguería']
   i5 | E: ¿Dónde se compran las frutas y las verduras? | C: La frutería | D: ['La carnicería', 'La ferretería']
#### El guiso por su ingrediente principal
   i0 | E: Arroz amarillo con marisco y pollo | C: La paella | D: ['El cocido', 'El gazpacho']
   i1 | E: Garbanzos, verdura y carne cocidos juntos | C: El cocido | D: ['La paella', 'La tortilla de patata']
   i2 | E: Huevo y patata fritos y cuajados | C: La tortilla de patata | D: ['La paella', 'El gazpacho']
   i3 | E: Tomate, pepino y pan, frío y para beber | C: El gazpacho | D: ['El cocido', 'La tortilla de patata']
   i4 | E: Pan del día anterior, ajo y agua caliente | C: La sopa de ajo | D: ['El gazpacho', 'La paella']
   i5 | E: Pulpo cocido con pimentón y aceite | C: El pulpo a la gallega | D: ['El cocido', 'La tortilla de patata']
#### Fenómenos del tiempo por su descripción
   i0 | E: Cae del cielo en forma de bolitas de hielo que golpean. | C: Granizo | D: ['Lluvia', 'Niebla']
   i1 | E: Arco de colores que sale cuando llueve y hace sol a la vez. | C: Arcoíris | D: ['Rayo', 'Nube']
   i2 | E: Ruido fuerte que retumba en el cielo durante la tormenta. | C: Trueno | D: ['Brisa', 'Rocío']
   i3 | E: Bruma espesa y baja que no deja ver de lejos. | C: Niebla | D: ['Granizo', 'Trueno']
   i4 | E: Gotas de agua que amanecen sobre la hierba por la mañana. | C: Rocío | D: ['Nieve', 'Arcoíris']
   i5 | E: Capa blanca y helada que cubre el suelo las mañanas de mucho frío. | C: Escarcha | D: ['Niebla', 'Lluvia']
   i6 | E: Luz repentina que cruza el cielo en plena tormenta. | C: Relámpago | D: ['Arcoíris', 'Rocío']
#### El oficio por su herramienta
   i0 | E: Usa un martillo y clavos para hacer muebles de madera | C: El carpintero | D: ['El panadero', 'El pescador']
   i1 | E: Trabaja con tijeras y peine cortando el pelo | C: El peluquero | D: ['El albañil', 'El cartero']
   i2 | E: Apaga el fuego con una manguera | C: El bombero | D: ['El jardinero', 'El sastre']
   i3 | E: Escucha el pecho con el fonendo para curar a los enfermos | C: El médico | D: ['El pintor', 'El fontanero']
   i4 | E: Amasa la harina y hornea el pan | C: El panadero | D: ['El zapatero', 'El conductor']
   i5 | E: Levanta paredes con ladrillos, cemento y paleta | C: El albañil | D: ['El cocinero', 'El músico']
#### El uniforme de cada oficio
   i0 | E: Lleva bata blanca y un fonendo al cuello | C: El médico | D: ['El bombero', 'El payaso']
   i1 | E: Viste casco y un traje que aguanta el fuego | C: El bombero | D: ['El camarero', 'El jardinero']
   i2 | E: Va de blanco con un gorro alto en la cocina | C: El cocinero | D: ['El policía', 'El marinero']
   i3 | E: Lleva toga negra y trabaja en el juzgado | C: El juez | D: ['El panadero', 'El pescador']
   i4 | E: Viste hábito y vive en un convento | C: La monja | D: ['La bailarina', 'La modista']
   i5 | E: Lleva el traje de luces y el capote en la plaza | C: El torero | D: ['El médico', 'El cartero']
MISSING: De qué está hecho
#### ¿De qué está hecho?
   i0 | E: El pan se hace con... | C: Harina | D: ['Hierro', 'Lana']
   i1 | E: El queso se hace con... | C: Leche | D: ['Madera', 'Arena']
   i2 | E: El vino se hace con... | C: Uvas | D: ['Patatas', 'Piedras']
   i3 | E: El jersey de lana viene de la... | C: Oveja | D: ['Gallina', 'Abeja']
   i4 | E: La miel la hacen las... | C: Abejas | D: ['Vacas', 'Hormigas']
   i5 | E: El aceite de oliva se hace con... | C: Aceitunas | D: ['Naranjas', 'Nueces']
#### Analogías de materiales
   i0 | E: La mesa es de madera, como la ventana es de... | C: Cristal | D: ['Agua', 'Pan']
   i1 | E: El jersey es de lana, como el vaso es de... | C: Cristal | D: ['Lana', 'Chocolate']
   i2 | E: La llave es de metal, como el neumático es de... | C: Goma | D: ['Papel', 'Azúcar']
   i3 | E: El libro es de papel, como la sábana es de... | C: Tela | D: ['Hierro', 'Piedra']
   i4 | E: El muro es de ladrillo, como el puente puede ser de... | C: Piedra | D: ['Lana', 'Miga de pan']
   i5 | E: La botella es de cristal, como la bolsa de la compra es de... | C: Plástico | D: ['Hierro', 'Ladrillo']
