#### El dulce por lo que lleva
   i0 | E: Huevo y azúcar cuajados, con caramelo por encima | C: El flan | D: ['El arroz con leche', 'Las natillas']
   i2 | E: Sube al cielo con un gran globo de aire caliente y una cesta | C: Globo aerostático | D: ['Camión', 'Tren']
   i3 | E: Nave que sube al espacio con mucho fuego y humo | C: Cohete | D: ['Autobús', 'Barco']
   i4 | E: Aparato pequeño que vuela y hoy se maneja con un mando desde el suelo | C: Dron | D: ['Coche', 'Barco']
   i5 | E: Avión pequeño de hélice para pocas personas | C: Avioneta | D: ['Tranvía', 'Barco']
#### Transporte por el agua
   i0 | E: Barco de vela con el que se cruzaba el mar antiguamente | C: Velero | D: ['Tren', 'Camión']
   i1 | E: Embarcación pequeña que se mueve con remos | C: Barca | D: ['Autobús', 'Bicicleta']
   i2 | E: Barco muy grande para llevar de vacaciones a muchos pasajeros por el mar | C: Crucero | D: ['Avión', 'Coche']
   i3 | E: Barco pequeño que usan los pescadores para faenar | C: Pesquero | D: ['Tren', 'Moto']
   i4 | E: Nave que navega por debajo del agua | C: Submarino | D: ['Coche', 'Tren']
   i5 | E: Barca larga y estrecha típica de Venecia, se mueve con un palo | C: Góndola | D: ['Autobús', 'Bicicleta']
#### Transporte de antaño
   i0 | E: Carruaje tirado por caballos que llevaba viajeros de pueblo en pueblo | C: Diligencia | D: ['Avión', 'Metro']
   i1 | E: Vehículo de tracción animal para acarrear la mies y la paja | C: Carro | D: ['Submarino', 'Tranvía']
   i2 | E: Barco de velas con el que se cruzaban los océanos hace siglos | C: Velero | D: ['Coche', 'Helicóptero']
   i3 | E: Tren antiguo que echaba humo y funcionaba con carbón | C: Locomotora de vapor | D: ['Avión', 'Autobús']
   i4 | E: Carruaje elegante tirado por un caballo para salir a pasear | C: Coche de caballos | D: ['Avión', 'Metro']
   i5 | E: Carruaje muy adornado en el que viajaban los reyes | C: Carroza | D: ['Bicicleta', 'Barco']
#### Platos típicos de España
   i0 | E: Arroz amarillo con pollo, marisco y verduras, de Valencia | C: La paella | D: ['El gazpacho', 'El flan']
   i1 | E: Sopa fria de tomate que se toma en verano | C: El gazpacho | D: ['La paella', 'El cocido']
   i2 | E: De patata y huevo, cuajada en la sarten | C: La tortilla de patatas | D: ['El gazpacho', 'El turron']
   i3 | E: Guiso de garbanzos con carne y verduras | C: El cocido | D: ['La paella', 'El flan']
   i4 | E: Judias blancas con chorizo y morcilla, de Asturias | C: La fabada | D: ['El gazpacho', 'La tortilla']
   i5 | E: Pan tostado con tomate y aceite | C: El pan con tomate | D: ['El cocido', 'La paella']
#### El electrodoméstico por su sonido
   i0 | E: Zumba y da vueltas lavando la ropa | C: La lavadora | D: ['La nevera', 'La plancha']
   i1 | E: Ruge fuerte mientras aspira el polvo del suelo | C: La aspiradora | D: ['La nevera', 'La tostadora']
   i2 | E: Salta y pita cuando el pan está tostado | C: La tostadora | D: ['La lavadora', 'La aspiradora']
   i3 | E: Zumba bajito y guarda la comida fría | C: La nevera | D: ['La aspiradora', 'La plancha']
   i4 | E: Da vueltas con un ruido agudo triturando la fruta | C: La batidora | D: ['La nevera', 'La plancha']
   i5 | E: Pita cuando termina de calentar la comida | C: El microondas | D: ['La lavadora', 'La aspiradora']
#### El lugar por lo que se oye
   i0 | E: Se oyen campanas y la gente reza en silencio. ¿Dónde estamos? | C: En la iglesia | D: ['En el mercado', 'En la playa']
   i1 | E: Se oye el pitido del tren y hay gente con maletas. ¿Dónde estamos? | C: En la estación de tren | D: ['En la panadería', 'En el parque']
   i2 | E: Se oye pedir cafés y el ruido de los platos y las tazas. ¿Dónde estamos? | C: En el bar | D: ['En la biblioteca', 'En el campo']
   i3 | E: Se oyen las olas y las gaviotas. ¿Dónde estamos? | C: En la playa | D: ['En la montaña', 'En el cine']
   i4 | E: Se oye a los niños jugando y los columpios. ¿Dónde estamos? | C: En el parque | D: ['En el banco', 'En la farmacia']
   i5 | E: Se oye el mugido de las vacas y el canto del gallo. ¿Dónde estamos? | C: En la granja | D: ['En la ciudad', 'En el metro']
#### ¿Qué animal es? (por su sonido)
   i0 | E: ¿Qué animal maúlla y ronronea? | C: El gato | D: ['El perro', 'El caballo']
   i1 | E: ¿Qué animal cacarea cuando pone un huevo? | C: La gallina | D: ['El pato', 'La oveja']
   i2 | E: ¿Qué animal croa junto al agua? | C: La rana | D: ['El gato', 'El toro']
   i3 | E: ¿Qué animal hace 'hi-ho' y rebuzna? | C: El burro | D: ['La gallina', 'El pez']
   i4 | E: ¿Qué animal muge en el establo? | C: La vaca | D: ['La gallina', 'El gato']
   i5 | E: ¿Qué animal relincha y tiene crines? | C: El caballo | D: ['El pato', 'La abeja']
#### El instrumento por su sonido
   i0 | E: Suena 'tolón, tolón' y llama a misa desde la torre | C: Campana | D: ['Guitarra', 'Flauta']
   i1 | E: Se golpea con dos palillos y hace 'pom, pom' | C: Tambor | D: ['Trompeta', 'Arpa']
   i2 | E: Van en los dedos y repican 'clac, clac' al bailar sevillanas | C: Castañuelas | D: ['Piano', 'Corneta']
   i3 | E: Redonda, con sonajas, se golpea con la mano en las fiestas | C: Pandereta | D: ['Violín', 'Trompeta']
   i4 | E: Tiene teclas blancas y negras y suena al pulsarlas | C: Piano | D: ['Tambor', 'Gaita']
   i5 | E: Se sopla fuerte y da toques en el cuartel o en la plaza de toros | C: Corneta | D: ['Arpa', 'Pandereta']
#### Instrumentos de la copla y la fiesta
   i0 | E: Van en los dedos y repican al bailar flamenco | C: Castañuelas | D: ['Trompeta', 'Arpa']
   i1 | E: Redonda con sonajas, se toca en Navidad | C: Pandereta | D: ['Violín', 'Flauta']
   i2 | E: De seis cuerdas, acompaña las coplas y el flamenco | C: Guitarra | D: ['Tuba', 'Tambor']
   i3 | E: Tiene fuelle, se abre y se cierra, típico del pasodoble y el chotis | C: Acordeón | D: ['Arpa', 'Corneta']
   i4 | E: Instrumento gallego con fuelle y tubos que suena en las romerías | C: Gaita | D: ['Piano', 'Pandereta']
   i5 | E: Pequeñas y de mano, se agitan y suenan con semillas dentro | C: Maracas | D: ['Guitarra', 'Flauta']
#### El instrumento por su definición
   i0 | E: Instrumento de cuerda que se rasga en el flamenco | C: Guitarra | D: ['Violín', 'Arpa']
   i1 | E: Instrumento grande de teclas blancas y negras | C: Piano | D: ['Órgano', 'Acordeón']
   i2 | E: Instrumento de viento pequeño y plateado que se sopla de lado | C: Flauta | D: ['Trompeta', 'Clarinete']
   i3 | E: Instrumento redondo que se golpea con baquetas | C: Tambor | D: ['Pandereta', 'Platillos']
   i4 | E: Instrumento de viento dorado, típico de las bandas | C: Trompeta | D: ['Flauta', 'Saxofón']
   i5 | E: Instrumento de cuerda que se toca con un arco, apoyado en el hombro | C: Violín | D: ['Guitarra', 'Chelo']
#### La fruta por su definición
   i0 | E: Fruta amarilla, alargada y curva que se pela con la mano | C: Plátano | D: ['Manzana', 'Naranja']
   i1 | E: Fruta redonda y roja que se da en el manzano | C: Manzana | D: ['Pera', 'Uva']
   i2 | E: Fruta de gajos, jugosa y de color naranja | C: Naranja | D: ['Melón', 'Plátano']
   i3 | E: Fruta pequeña y morada que crece en racimos | C: Uva | D: ['Cereza', 'Ciruela']
   i4 | E: Fruta grande, verde por fuera y roja por dentro, muy refrescante en verano | C: Sandía | D: ['Melón', 'Calabaza']
   i5 | E: Fruta amarilla y ácida con la que se hace limonada | C: Limón | D: ['Naranja', 'Pomelo']
   i6 | E: Fruta pequeña y roja con hueso y un rabito largo | C: Cereza | D: ['Fresa', 'Ciruela']
#### El animal por su definición
   i0 | E: Animal doméstico que ladra y guarda la casa | C: Perro | D: ['Gato', 'Caballo']
   i1 | E: Animal que maúlla y caza ratones | C: Gato | D: ['Perro', 'Conejo']
   i2 | E: Ave de corral que pone huevos y cacarea | C: Gallina | D: ['Pato', 'Paloma']
   i3 | E: Animal grande del campo que da leche y hace 'muu' | C: Vaca | D: ['Oveja', 'Cerdo']
   i4 | E: Animal de la granja del que sale la lana | C: Oveja | D: ['Cabra', 'Vaca']
   i5 | E: Animal grande que relincha y tira del carro | C: Caballo | D: ['Burro', 'Buey']
   i6 | E: Insecto que fabrica miel en la colmena | C: Abeja | D: ['Mosca', 'Mariposa']
#### El postre por su descripción
   i0 | E: Postre blando de huevo y azúcar con caramelo por encima. | C: El flan | D: ['El churro', 'El helado']
   i1 | E: Se cuece el arroz con leche, azúcar y canela. | C: El arroz con leche | D: ['El flan', 'El bizcocho']
   i2 | E: Rebanadas de pan empapadas en leche y fritas; típicas de Semana Santa. | C: Las torrijas | D: ['El flan', 'Las natillas']
   i3 | E: Masa frita y alargada que se moja en el chocolate. | C: Los churros | D: ['El flan', 'El helado']
   i4 | E: Crema amarilla y suave hecha con leche, huevo y azúcar. | C: Las natillas | D: ['Los churros', 'El bizcocho']
   i5 | E: Tarta de almendra con la cruz de Santiago dibujada en azúcar. | C: La tarta de Santiago | D: ['El flan', 'Las torrijas']
#### La hortaliza por su descripción
   i0 | E: Verdura roja y redonda con la que se hace el gazpacho. | C: El tomate | D: ['La cebolla', 'El ajo']
   i1 | E: Es alargada y naranja; les gusta a los conejos. | C: La zanahoria | D: ['El pimiento', 'La lechuga']
   i2 | E: Hortaliza de hojas verdes con la que se hace ensalada. | C: La lechuga | D: ['La patata', 'La cebolla']
   i3 | E: Al pelarla y cortarla hace llorar. | C: La cebolla | D: ['El tomate', 'La zanahoria']
   i4 | E: Cabeza blanca de dientes que da mucho sabor al guiso. | C: El ajo | D: ['La lechuga', 'El tomate']
   i5 | E: Se cría bajo tierra y con ella se hacen las patatas fritas. | C: La patata | D: ['El pimiento', 'La cebolla']
#### El árbol por su descripción
   i0 | E: Árbol del que sale la aceituna para hacer aceite. | C: El olivo | D: ['El pino', 'El naranjo']
   i1 | E: Da bellotas y su madera es muy dura y noble. | C: El roble | D: ['El sauce', 'El olivo']
   i2 | E: Árbol de hoja perenne con piñas y olor a resina. | C: El pino | D: ['El olivo', 'El manzano']
   i3 | E: Sus ramas cuelgan hacia el suelo junto a los ríos. | C: El sauce llorón | D: ['El pino', 'El roble']
   i4 | E: Árbol alto de las costas, con hojas en penacho y dátiles. | C: La palmera | D: ['El roble', 'El olivo']
   i5 | E: En otoño da castañas dentro de un erizo con pinchos. | C: El castaño | D: ['El pino', 'El olivo']
#### El pez por su descripción
   i0 | E: Pez plano y casi redondo que vive tumbado en el fondo. | C: El lenguado | D: ['El atún', 'El salmón']
   i1 | E: Pez grande y azulado del que se hacen latas de conserva. | C: El atún | D: ['El lenguado', 'La trucha']
   i2 | E: Pez de río de carne rosada con pintas, muy apreciado. | C: La trucha | D: ['El atún', 'El bacalao']
   i3 | E: Pez alargado y viscoso con forma de serpiente. | C: La anguila | D: ['El lenguado', 'El atún']
   i4 | E: Pescado blanco que se vende en salazón y hay que remojar. | C: El bacalao | D: ['La trucha', 'El atún']
   i5 | E: Pez pequeño y plateado que se come frito en montoncitos. | C: El boquerón | D: ['El atún', 'El bacalao']
#### El insecto por su descripción
   i0 | E: Roja con lunares negros; dicen que trae buena suerte. | C: La mariquita | D: ['La abeja', 'La hormiga']
   i1 | E: Vuela de flor en flor con alas grandes y de colores. | C: La mariposa | D: ['La hormiga', 'El escarabajo']
   i2 | E: Muy pequeña y trabajadora; va en fila cargando comida. | C: La hormiga | D: ['La mariposa', 'La libélula']
   i3 | E: Zumba y pica; fabrica la miel. | C: La abeja | D: ['La mariquita', 'La hormiga']
   i4 | E: Da grandes saltos con sus patas traseras entre la hierba. | C: El saltamontes | D: ['La abeja', 'La mariquita']
   i5 | E: Brilla con una lucecita verde en las noches de verano. | C: La luciérnaga | D: ['La hormiga', 'La mariposa']
#### La bebida por su descripción
   i0 | E: Se saca de las vacas y es blanca. | C: La leche | D: ['El vino', 'El café']
   i1 | E: Bebida caliente y oscura que despierta por las mañanas. | C: El café | D: ['El agua', 'El vino']
   i2 | E: Bebida hecha con uvas, tinta o blanca, para la comida. | C: El vino | D: ['La leche', 'El café']
   i3 | E: Zumo dorado que se exprime de las naranjas. | C: El zumo de naranja | D: ['El café', 'El vino']
   i4 | E: Bebida sin color ni sabor que quita la sed. | C: El agua | D: ['El vino', 'El café']
   i5 | E: Infusión caliente de hierbas que sienta bien tras la cena. | C: La manzanilla | D: ['El vino', 'El zumo de naranja']
#### El guiso por su ingrediente principal
   i0 | E: Arroz amarillo con marisco y pollo | C: La paella | D: ['El cocido', 'El gazpacho']
   i1 | E: Garbanzos, verdura y carne cocidos juntos | C: El cocido | D: ['La paella', 'La tortilla de patata']
   i2 | E: Huevo y patata fritos y cuajados | C: La tortilla de patata | D: ['La paella', 'El gazpacho']
   i3 | E: Tomate, pepino y pan, frío y para beber | C: El gazpacho | D: ['El cocido', 'La tortilla de patata']
   i4 | E: Pan del día anterior, ajo y agua caliente | C: La sopa de ajo | D: ['El gazpacho', 'La paella']
   i5 | E: Pulpo cocido con pimentón y aceite | C: El pulpo a la gallega | D: ['El cocido', 'La tortilla de patata']
#### La especia por su uso en el guiso
   i0 | E: Da color amarillo a la paella | C: El azafrán | D: ['La canela', 'La pimienta']
   i1 | E: Se pone en el arroz con leche y las natillas | C: La canela | D: ['La sal', 'La pimienta']
   i2 | E: Es negra, pica y se muele encima de la comida | C: La pimienta | D: ['El azúcar', 'La canela']
   i3 | E: Da el sabor salado a la comida | C: La sal | D: ['El azúcar', 'La canela']
   i4 | E: Es una cabeza de dientes blancos que da olor al sofrito | C: El ajo | D: ['La cebolla', 'El perejil']
   i5 | E: Es una hoja verde que se echa picada al guiso | C: El perejil | D: ['El azafrán', 'La sal']
#### Flores del jardín por su seña
   i0 | E: Roja, con espinas en el tallo; flor del amor | C: La rosa | D: ['El clavel', 'La margarita']
   i1 | E: Blanca con el centro amarillo; se deshoja 'me quiere, no me quiere' | C: La margarita | D: ['La rosa', 'El tulipán']
   i2 | E: Grande y amarilla, mira siempre al sol | C: El girasol | D: ['La rosa', 'El clavel']
   i3 | E: Roja y rizada, muy de feria y de flamenca | C: El clavel | D: ['La margarita', 'El girasol']
   i4 | E: Roja de los trigales, con pétalos finos como el papel | C: La amapola | D: ['El girasol', 'La rosa']
   i5 | E: Pequeña, morada y muy olorosa | C: La violeta | D: ['El girasol', 'El clavel']
#### El edificio por lo que se hace dentro
   i0 | E: Para que nos curen cuando estamos muy enfermos | C: El hospital | D: ['La escuela', 'La iglesia']
   i1 | E: Para aprender de niños | C: La escuela | D: ['El hospital', 'El mercado']
   i2 | E: Para rezar y oír misa | C: La iglesia | D: ['El banco', 'La farmacia']
   i3 | E: Para comprar carne, fruta y pescado | C: El mercado | D: ['La iglesia', 'La escuela']
   i4 | E: Para comprar medicinas | C: La farmacia | D: ['El banco', 'La escuela']
   i5 | E: Para guardar y sacar el dinero | C: El banco | D: ['La farmacia', 'La iglesia']
